date,precipitation_mm,rain_mm,discharge_m3s
2025-08-09,,,4.5335007
2025-08-10,,,4.675446
2025-08-11,,,4.1760683
2025-08-12,,,3.666594
2025-08-13,,,4.7676644
2025-08-14,,,4.7809606
2025-08-15,,,7.165824
2025-08-16,,,5.9342585
2025-08-17,,,4.7543993
2025-08-18,,,5.295062
2025-08-19,,,13.689264
2025-08-20,,,7.1096106
2025-08-21,,,5.08135
2025-08-22,,,4.7016425
2025-08-23,,,4.1522865
2025-08-24,,,5.591739
2025-08-25,,,8.660509
2025-08-26,,,7.2985086
2025-08-27,,,5.886523
2025-08-28,,,4.8076444
2025-08-29,,,4.3456435
2025-08-30,,,4.597576
2025-08-31,,,4.956621
2025-09-01,,,6.014553
2025-09-02,,,5.5614524
2025-09-03,,,5.7920365
2025-09-04,,,5.295062
2025-09-05,0.0,0.0,4.7016425
2025-09-06,0.0,0.0,4.847901
2025-09-07,0.0,0.0,4.248075
2025-09-08,0.0,0.0,4.3579664
2025-09-09,0.0,0.0,4.5207744
2025-09-10,0.0,0.0,4.1286135
2025-09-11,0.0,0.0,3.3151908
2025-09-12,0.0,0.0,2.9264493
2025-09-13,0.0,0.0,2.758374
2025-09-14,0.0,0.0,2.74973
2025-09-15,0.0,0.0,2.8194427
2025-09-16,0.0,0.0,3.0457587
2025-09-17,0.0,0.0,2.8018937
2025-09-18,0.0,0.0,2.672823
2025-09-19,0.0,0.0,3.0926065
2025-09-20,0.0,0.0,2.5237086
2025-09-21,0.0,0.0,2.2359364
2025-09-22,0.0,0.0,1.9444218
2025-09-23,0.0,0.0,1.8054338
2025-09-24,0.0,0.0,1.6977394
2025-09-25,5.0,0.0,1.6001594
2025-09-26,0.0,0.0,1.8183827
2025-09-27,0.0,0.0,1.6181831
2025-09-28,0.0,0.0,1.3604782
2025-09-29,0.0,0.0,1.2750974
2025-09-30,0.0,0.0,1.1928048
2025-10-01,0.0,0.0,1.1183612
2025-10-02,2.3,0.0,1.0464447
2025-10-03,2.8999999,0.0,1.3120646
2025-10-04,0.3,0.0,1.1478305
2025-10-05,9.1,0.0,1.1727014
2025-10-06,29.2,4.7000003,3.655861
2025-10-07,2.3000002,0.0,7.8104887
2025-10-08,0.2,0.0,4.2844524
2025-10-09,0.0,0.0,2.1841977
2025-10-10,0.3,0.0,1.6181831
2025-10-11,0.0,0.0,1.4378109
2025-10-12,0.0,0.0,1.2961485
2025-10-13,0.0,0.0,1.2029264
2025-10-14,0.0,0.0,1.1183612
2025-10-15,0.0,0.0,1.0464447
2025-10-16,0.0,0.0,0.9769696
2025-10-17,0.0,0.0,0.914256
2025-10-18,0.0,0.0,0.8535316
2025-10-19,0.0,0.0,0.7988709
2025-10-20,0.0,0.0,0.74180686
2025-10-21,0.0,0.0,0.69433784
2025-10-22,0.0,0.0,0.65576994
2025-10-23,0.0,0.0,0.61808
2025-10-24,0.0,0.0,0.5703628
2025-10-25,0.0,0.0,0.64058983
2025-10-26,0.0,0.0,0.5848932
2025-10-27,0.0,0.0,0.54525447
2025-10-28,0.0,0.0,0.50660706
2025-10-29,0.0,0.0,0.4689263
2025-10-30,0.0,0.0,0.42889392
2025-10-31,0.0,0.0,0.39958727
2025-11-01,0.0,0.0,0.36772883
2025-11-02,0.0,0.0,0.33659554
2025-11-03,0.0,0.0,0.31219995
2025-11-04,13.9,0.0,0.28233063
2025-11-05,0.0,0.0,1.9241524
2025-11-06,0.0,0.0,1.0558906
2025-11-07,0.0,0.0,0.686553
2025-11-08,0.0,0.0,0.46217716
2025-11-09,0.0,0.0,0.38995266
2025-11-10,0.0,0.0,0.34276497
2025-11-11,0.0,0.0,0.30617082
2025-11-12,0.0,0.0,0.27350307
2025-11-13,0.0,0.0,0.25025904
2025-11-14,0.0,0.0,0.22743928
2025-11-15,0.0,0.0,0.20226443
2025-11-16,0.0,0.0,0.19398808
2025-11-17,0.0,0.0,0.18850219
2025-11-18,0.0,0.0,0.18850219
2025-11-19,0.0,0.0,0.18032062
2025-11-20,0.0,0.0,0.18032062
2025-11-21,0.0,0.0,0.18032062
2025-11-22,0.0,0.0,0.18032062
2025-11-23,0.0,0.0,0.18032062
2025-11-24,0.0,0.0,0.17219532
2025-11-25,0.0,0.0,0.17219532
2025-11-26,0.0,0.0,0.17219532
2025-11-27,0.0,0.0,0.17219532
2025-11-28,0.0,0.0,0.17219532
2025-11-29,0.0,0.0,0.17219532
2025-11-30,0.0,0.0,0.17219532
2025-12-01,0.0,0.0,0.17219532
2025-12-02,0.0,0.0,0.17219532
2025-12-03,0.0,0.0,0.1561122
2025-12-04,0.0,0.0,0.14024973
2025-12-05,0.0,0.0,0.14024973
2025-12-06,0.0,0.0,0.14024973
