date,precipitation_mm,rain_mm,discharge_m3s
2025-08-09,,,1.2181964
2025-08-10,,,1.2029264
2025-08-11,,,1.2181964
2025-08-12,,,1.2646441
2025-08-13,,,1.1727014
2025-08-14,,,1.1727014
2025-08-15,,,1.1727014
2025-08-16,,,1.1877615
2025-08-17,,,1.3280914
2025-08-18,,,2.2359364
2025-08-19,,,3.518559
2025-08-20,,,2.4833732
2025-08-21,,,2.4673686
2025-08-22,,,2.0902956
2025-08-23,,,1.8906798
2025-08-24,,,1.9241524
2025-08-25,,,2.4040818
2025-08-26,,,2.4197943
2025-08-27,,,1.9853826
2025-08-28,,,1.7989812
2025-08-29,,,1.837919
2025-08-30,,,2.250873
2025-08-31,,,3.2461958
2025-09-01,,,3.0926065
2025-09-02,,,2.6057863
2025-09-03,,,2.5075188
2025-09-04,,,2.2658782
2025-09-05,0.0,0.0,1.9922647
2025-09-06,0.0,0.0,1.7989812
2025-09-07,0.0,0.0,1.6668587
2025-09-08,0.0,0.0,1.9785166
2025-09-09,0.0,0.0,2.0760968
2025-09-10,0.0,0.0,1.6546056
2025-09-11,0.0,0.0,2.2960973
2025-09-12,0.0,0.0,2.0338912
2025-09-13,0.0,0.0,1.8183827
2025-09-14,0.0,0.0,1.6791685
2025-09-15,0.0,0.0,1.5882127
2025-09-16,0.0,0.0,1.5061092
2025-09-17,0.0,0.0,1.4603677
2025-09-18,0.0,0.0,1.432204
2025-09-19,0.0,0.0,1.5176768
2025-09-20,0.0,0.0,1.5468302
2025-09-21,0.0,0.0,1.5234809
2025-09-22,0.0,0.0,1.3280914
2025-09-23,0.0,0.0,1.3280914
2025-09-24,0.0,0.0,1.3067472
2025-09-25,0.0,0.0,1.2908678
2025-09-26,0.0,0.0,1.3227367
2025-09-27,0.0,0.0,1.3067472
2025-09-28,0.0,0.0,1.2594359
2025-09-29,0.0,0.0,1.2490547
2025-09-30,0.0,0.0,1.243882
2025-10-01,0.2,0.0,1.2335722
2025-10-02,1.9,0.0,1.228435
2025-10-03,6.1,0.0,1.1727014
2025-10-04,9.4,0.0,1.133045
2025-10-05,0.7,0.0,1.5468302
2025-10-06,7.2,0.0,1.5003455
2025-10-07,0.0,0.0,2.784426
2025-10-08,0.0,0.0,3.59198
2025-10-09,0.0,0.0,2.0902956
2025-10-10,0.0,0.0,1.837919
2025-10-11,0.0,0.0,1.6485002
2025-10-12,0.0,0.0,1.5176768
2025-10-13,0.0,0.0,1.4154608
2025-10-14,0.0,0.0,1.3604782
2025-10-15,0.0,0.0,1.3120646
2025-10-16,0.0,0.0,1.2594359
2025-10-17,0.0,0.0,1.2130947
2025-10-18,0.0,0.0,1.1627185
2025-10-19,0.0,0.0,1.1232445
2025-10-20,0.0,0.0,1.0941124
2025-10-21,0.0,0.0,1.0606298
2025-10-22,0.0,0.0,1.0370419
2025-10-23,0.0,0.0,1.0090928
2025-10-24,0.0,0.0,0.9906733
2025-10-25,0.0,0.0,0.99986184
2025-10-26,0.0,0.0,1.032357
2025-10-27,0.0,0.0,1.0796967
2025-10-28,0.0,0.0,1.1183612
2025-10-29,0.0,0.0,1.1627185
2025-10-30,0.0,0.0,1.2130947
2025-10-31,0.0,0.0,1.2594359
2025-11-01,0.0,0.0,1.2961485
2025-11-02,0.0,0.0,1.3442287
2025-11-03,0.0,0.0,1.3604782
2025-11-04,0.0,0.0,1.3496327
2025-11-05,0.0,0.0,1.3227367
2025-11-06,0.0,0.0,1.2961485
2025-11-07,0.0,0.0,1.2646441
2025-11-08,0.0,0.0,1.2335722
2025-11-09,0.0,0.0,1.2029264
2025-11-10,0.0,0.0,1.1777098
2025-11-11,0.0,0.0,1.1478305
2025-11-12,0.0,0.0,1.1232445
2025-11-13,0.0,0.0,1.0941124
2025-11-14,0.0,0.0,1.0701413
2025-11-15,0.0,0.0,1.0464447
2025-11-16,0.0,0.0,1.0230191
2025-11-17,0.0,0.0,0.99986184
2025-11-18,0.0,0.0,0.98609495
2025-11-19,0.0,0.0,0.95884466
2025-11-20,0.0,0.0,0.936422
2025-11-21,0.0,0.0,0.92309177
2025-11-22,0.0,0.0,0.89670587
2025-11-23,0.0,0.0,0.8836491
2025-11-24,0.0,0.0,0.86637974
2025-11-25,0.0,0.0,0.8578044
2025-11-26,0.0,0.0,0.8535316
2025-11-27,0.0,0.0,0.8535316
2025-11-28,0.0,0.0,0.8535316
2025-11-29,0.0,0.0,0.8450154
2025-11-30,0.0,0.0,0.8450154
2025-12-01,0.0,0.0,0.8450154
2025-12-02,0.0,0.0,0.8450154
2025-12-03,0.0,0.0,0.8113401
2025-12-04,0.0,0.0,0.7660378
2025-12-05,0.0,0.0,0.733804
2025-12-06,0.0,0.0,0.7179084
