date,precipitation_mm,rain_mm,discharge_m3s
2025-08-09,,,10863.251
2025-08-10,,,10963.781
2025-08-11,,,10963.781
2025-08-12,,,10542.863
2025-08-13,,,10068.312
2025-08-14,,,9637.289
2025-08-15,,,9353.056
2025-08-16,,,9224.713
2025-08-17,,,9245.983
2025-08-18,,,9439.606
2025-08-19,,,9861.794
2025-08-20,,,10494.422
2025-08-21,,,11193.373
2025-08-22,,,12021.643
2025-08-23,,,12588.251
2025-08-24,,,12501.594
2025-08-25,,,11884.017
2025-08-26,,,11270.976
2025-08-27,,,11014.389
2025-08-28,,,11375.279
2025-08-29,,,13272.949
2025-08-30,,,16518.615
2025-08-31,,,17781.795
2025-09-01,,,16556.695
2025-09-02,,,14858.3545
2025-09-03,,,13676.293
2025-09-04,,,13151.247
2025-09-05,0.0,0.0,13211.95
2025-09-06,0.0,0.0,13930.569
2025-09-07,0.0,0.0,14858.3545
2025-09-08,0.0,0.0,14858.3545
2025-09-09,0.0,0.0,14091.894
2025-09-10,0.0,0.0,13364.953
2025-09-11,0.0,0.0,12911.194
2025-09-12,0.0,0.0,12588.251
2025-09-13,0.0,0.0,12216.993
2025-09-14,0.0,0.0,11802.207
2025-09-15,0.0,0.0,11375.279
2025-09-16,0.0,0.0,11014.389
2025-09-17,0.0,0.0,10689.544
2025-09-18,0.0,0.0,10398.206
2025-09-19,0.0,0.0,10091.533
2025-09-20,0.0,0.0,9816.481
2025-09-21,0.0,0.0,9570.939
2025-09-22,0.0,0.0,9353.056
2025-09-23,0.0,0.0,9098.135
2025-09-24,0.0,0.0,8891.009
2025-09-25,0.0,0.0,8668.618
2025-09-26,0.0,0.0,8451.789
2025-09-27,0.0,0.0,8221.426
2025-09-28,0.0,0.0,8015.7812
2025-09-29,0.0,0.0,7779.366
2025-09-30,0.0,0.0,7567.328
2025-10-01,0.0,0.0,7361.0728
2025-10-02,0.0,0.0,7160.4346
2025-10-03,0.0,0.0,6965.264
2025-10-04,0.0,0.0,6759.8286
2025-10-05,0.0,0.0,6560.451
2025-10-06,0.0,0.0,6366.9536
2025-10-07,0.0,0.0,6207.69
2025-10-08,0.0,0.0,6080.349
2025-10-09,0.0,0.0,6066.3633
2025-10-10,0.0,0.0,6265.1377
2025-10-11,0.0,0.0,6530.306
2025-10-12,0.0,0.0,6545.3613
2025-10-13,0.0,0.0,6352.309
2025-10-14,0.0,0.0,6193.4116
2025-10-15,0.0,0.0,6052.4097
2025-10-16,0.0,0.0,5941.9204
2025-10-17,0.0,0.0,5873.894
2025-10-18,0.0,0.0,5846.9004
2025-10-19,0.0,0.0,5793.287
2025-10-20,0.0,0.0,5700.643
2025-10-21,0.0,0.0,5583.7017
2025-10-22,0.0,0.0,5444.0273
2025-10-23,0.0,0.0,5307.8433
2025-10-24,0.0,0.0,5186.9995
2025-10-25,0.0,0.0,5045.614
2025-10-26,0.0,0.0,4919.3945
2025-10-27,0.0,0.0,4807.3926
2025-10-28,0.0,0.0,4697.9404
2025-10-29,0.0,0.0,4601.567
2025-10-30,0.0,0.0,4517.559
2025-10-31,0.0,0.0,4445.3125
2025-11-01,0.0,0.0,4374.221
2025-11-02,0.0,0.0,4304.2666
2025-11-03,0.0,0.0,4235.4307
2025-11-04,0.0,0.0,4177.304
2025-11-05,0.0,0.0,4110.498
2025-11-06,0.0,0.0,4054.0857
2025-11-07,0.0,0.0,3989.2498
2025-11-08,0.0,0.0,3925.4502
2025-11-09,0.0,0.0,3853.7832
2025-11-10,0.0,0.0,3792.15
2025-11-11,0.0,0.0,3722.918
2025-11-12,0.0,0.0,3654.9475
2025-11-13,0.0,0.0,3596.4934
2025-11-14,0.0,0.0,3530.8325
2025-11-15,0.0,0.0,3466.3682
2025-11-16,0.0,0.0,3403.0825
2025-11-17,0.0,0.0,3325.5962
2025-11-18,0.0,0.0,3249.8735
2025-11-19,0.0,0.0,3175.8748
2025-11-20,0.0,0.0,3110.7166
2025-11-21,0.0,0.0,3039.8853
2025-11-22,0.0,0.0,2970.6663
2025-11-23,0.0,0.0,2903.023
2025-11-24,0.0,0.0,2843.4612
2025-11-25,0.0,0.0,2778.7134
2025-11-26,0.0,0.0,2721.701
2025-11-27,0.0,0.0,2672.0066
2025-11-28,0.0,0.0,2617.1829
2025-11-29,0.0,0.0,2563.4836
2025-11-30,0.0,0.0,2522.4805
2025-12-01,0.0,0.0,2476.4224
2025-12-02,0.0,0.0,2431.2036
2025-12-03,0.0,0.0,2386.8113
2025-12-04,0.0,0.0,2348.633
2025-12-05,0.0,0.0,2305.7468
2025-12-06,0.0,0.0,2268.8645
