date,precipitation_mm,rain_mm,discharge_m3s,city,risk_label,rain_lag1,rain_lag3,discharge_lag1,discharge_lag3,rain_3day_avg,discharge_7day_avg,month,day_of_year,is_monsoon,city_encoded
2025-08-09,,,4.5335007,Abbottabad,GREEN,,,,,,,8,221,1,0
2025-08-10,,,4.675446,Abbottabad,GREEN,,,4.5335007,,,,8,222,1,0
2025-08-11,,,4.1760683,Abbottabad,GREEN,,,4.675446,,,,8,223,1,0
2025-08-12,,,3.666594,Abbottabad,GREEN,,,4.1760683,4.5335007,,,8,224,1,0
2025-08-13,,,4.7676644,Abbottabad,GREEN,,,3.666594,4.675446,,,8,225,1,0
2025-08-14,,,4.7809606,Abbottabad,GREEN,,,4.7676644,4.1760683,,,8,226,1,0
2025-08-15,,,7.165824,Abbottabad,GREEN,,,4.7809606,3.666594,,4.823722571428571,8,227,1,0
2025-08-16,,,5.9342585,Abbottabad,GREEN,,,7.165824,4.7676644,,5.023830828571429,8,228,1,0
2025-08-17,,,4.7543993,Abbottabad,GREEN,,,5.9342585,4.7809606,,5.035109871428571,8,229,1,0
2025-08-18,,,5.295062,Abbottabad,GREEN,,,4.7543993,7.165824,,5.194966114285714,8,230,1,0
2025-08-19,,,13.689264,Abbottabad,GREEN,,,5.295062,5.9342585,,6.626776114285714,8,231,1,0
2025-08-20,,,7.1096106,Abbottabad,GREEN,,,13.689264,4.7543993,,6.961339857142856,8,232,1,0
2025-08-21,,,5.08135,Abbottabad,GREEN,,,7.1096106,5.295062,,7.004252628571428,8,233,1,0
2025-08-22,,,4.7016425,Abbottabad,GREEN,,,5.08135,13.689264,,6.6522267,8,234,1,0
2025-08-23,,,4.1522865,Abbottabad,GREEN,,,4.7016425,7.1096106,,6.397659271428571,8,235,1,0
2025-08-24,,,5.591739,Abbottabad,GREEN,,,4.1522865,5.08135,,6.517279228571428,8,236,1,0
2025-08-25,,,8.660509,Abbottabad,GREEN,,,5.591739,4.7016425,,6.998057371428571,8,237,1,0
2025-08-26,,,7.2985086,Abbottabad,GREEN,,,8.660509,4.1522865,,6.085092314285714,8,238,1,0
2025-08-27,,,5.886523,Abbottabad,GREEN,,,7.2985086,5.591739,,5.910365514285714,8,239,1,0
2025-08-28,,,4.8076444,Abbottabad,GREEN,,,5.886523,8.660509,,5.871264714285714,8,240,1,0
2025-08-29,,,4.3456435,Abbottabad,GREEN,,,4.8076444,7.2985086,,5.8204077142857145,8,241,1,0
2025-08-30,,,4.597576,Abbottabad,GREEN,,,4.3456435,5.886523,,5.884020499999999,8,242,1,0
2025-08-31,,,4.956621,Abbottabad,GREEN,,,4.597576,4.8076444,,5.793289357142858,8,243,1,0
2025-09-01,,,6.014553,Abbottabad,GREEN,,,4.956621,4.3456435,,5.415295642857143,9,244,1,0
2025-09-02,,,5.5614524,Abbottabad,GREEN,,,6.014553,4.597576,,5.167144757142857,9,245,1,0
2025-09-03,,,5.7920365,Abbottabad,GREEN,,,5.5614524,4.956621,,5.1536466857142855,9,246,1,0
2025-09-04,,,5.295062,Abbottabad,GREEN,,,5.7920365,6.014553,,5.223277771428571,9,247,1,0
2025-09-05,0.0,0.0,4.7016425,Abbottabad,GREEN,,,5.295062,5.5614524,,5.274134771428572,9,248,1,0
2025-09-06,0.0,0.0,4.847901,Abbottabad,GREEN,0.0,,4.7016425,5.7920365,,5.309895485714286,9,249,1,0
